iter	Accuracy	MultiClass
0	0.110125	2.302191768
1	0.128	2.300160339
2	0.1345	2.298839675
3	0.159	2.294934365
4	0.1615	2.294226563
5	0.1755	2.290685434
6	0.18	2.288027584
7	0.1855	2.28604854
8	0.19325	2.283825752
9	0.19525	2.282726062
10	0.199375	2.280741822
11	0.204	2.278519813
12	0.204875	2.277733721
13	0.214375	2.274547181
14	0.213	2.274276739
15	0.2175	2.273205579
16	0.21725	2.272376352
17	0.217625	2.270926434
18	0.224875	2.268282768
19	0.225	2.267273097
20	0.2295	2.264952638
21	0.2315	2.263561008
22	0.235125	2.262318765
23	0.233125	2.261418319
24	0.234375	2.260159569
25	0.2345	2.259473025
26	0.234875	2.258915335
27	0.243875	2.254774444
28	0.24225	2.254246409
29	0.239	2.253742195
30	0.23925	2.252932428
31	0.2465	2.250802643
32	0.247875	2.250750585
33	0.24775	2.250692707
34	0.250875	2.24751632
35	0.255125	2.245439809
36	0.255875	2.244856886
37	0.265125	2.240386571
38	0.2675	2.239309355
39	0.266	2.238795153
40	0.26925	2.237231937
41	0.269	2.23609857
42	0.27075	2.234718793
43	0.27125	2.234625003
44	0.2705	2.233399013
45	0.271625	2.231927543
46	0.277625	2.229773396
47	0.27975	2.228382402
48	0.2875	2.224258124
49	0.287	2.222066705
50	0.28925	2.22086143
51	0.2925	2.219395927
52	0.297	2.217183789
53	0.297875	2.216333587
54	0.297	2.215786064
55	0.297125	2.215785884
56	0.297	2.215325302
57	0.29775	2.214433635
58	0.297375	2.214008798
59	0.29675	2.212579012
60	0.304	2.208156566
61	0.307	2.206934759
62	0.30775	2.205196922
63	0.31075	2.202818372
64	0.315875	2.201079539
65	0.316	2.200468013
66	0.315375	2.199693972
67	0.321125	2.195876944
68	0.325875	2.193091063
69	0.326	2.193085415
70	0.328125	2.192000248
71	0.3285	2.190632633
72	0.32875	2.189602628
73	0.326875	2.188283139
74	0.3295	2.187064131
75	0.329125	2.186166079
76	0.33475	2.182273331
77	0.334625	2.182273065
78	0.337	2.179661479
79	0.344875	2.174214587
80	0.34925	2.171232747
81	0.359375	2.165643996
82	0.361125	2.164519386
83	0.364125	2.161966958
84	0.36775	2.159460283
85	0.368625	2.156979391
86	0.371625	2.154042868
87	0.377125	2.149955541
88	0.37725	2.1483323
89	0.399125	2.138367928
90	0.406	2.132292142
91	0.411	2.128736997
92	0.415	2.126145706
93	0.424875	2.121351113
94	0.437875	2.11219359
95	0.447375	2.106042335
96	0.465375	2.098937216
97	0.4685	2.093918629
98	0.473125	2.091215724
99	0.471	2.090077907
100	0.476	2.08752595
101	0.48725	2.079163195
102	0.4905	2.075881091
103	0.491625	2.074247248
104	0.496	2.071382473
105	0.50225	2.066711486
106	0.506875	2.062467448
107	0.5085	2.057505893
108	0.511375	2.055156936
