iter	Passed	Remaining
0	619	308912
1	1092	272010
2	1820	301638
3	2937	364293
4	3855	381694
5	4346	357880
6	4785	337049
7	5255	323240
8	5688	310351
9	6262	306868
10	6706	298150
11	7233	294143
12	7620	285477
13	8218	285302
14	8458	273503
15	8986	271848
16	9465	268933
17	9882	264643
18	10327	261438
19	10803	259284
20	11219	255918
21	11728	254838
22	12166	252317
23	12616	250235
24	13003	247068
25	13460	245397
26	13898	243473
27	14435	243339
28	14895	241928
29	15458	242186
30	15972	241642
31	16484	241087
32	16573	234538
33	16780	229985
34	17278	229551
35	17742	228687
36	18210	227877
37	18676	227071
38	19233	227344
39	19661	226110
40	20242	226614
41	20706	225794
42	21264	225999
43	21323	220989
44	22106	223522
45	22662	223665
46	23216	223771
47	23777	223900
48	24283	223505
49	24798	223184
50	25341	223108
51	25923	223343
52	26679	225013
53	27457	226779
54	28142	227695
55	28177	223408
56	28691	222984
57	29269	223054
58	29940	223793
59	30629	224615
60	31217	224662
61	31819	224790
62	32320	224193
63	32856	223834
64	33400	223529
65	33878	222777
66	34405	222354
67	35029	222538
68	35563	222145
69	35622	218826
70	36161	218498
71	36660	217928
72	37143	217263
73	37663	216822
74	38150	216188
75	38677	215777
76	39273	215750
77	39300	212623
78	39838	212301
79	40324	211703
80	40834	211231
81	41399	211035
82	41935	210685
83	42479	210372
84	42954	209720
85	43485	209338
86	44011	208928
87	44471	208209
88	45002	207819
89	45621	207829
90	46174	207532
91	46718	207187
92	47350	207220
93	47905	206912
94	48371	206216
95	48864	205639
96	49349	205030
97	49953	204910
98	50448	204339
99	50954	203816
100	51523	203544
101	52204	203700
102	52707	203155
103	53244	202737
104	53707	202044
105	54269	201718
106	55283	203049
107	55827	202632
108	56331	202069
109	56900	201738
110	57520	201580
111	58143	201425
112	58784	201325
113	59425	201212
114	60064	201085
115	60503	200288
116	61109	200043
117	61703	199752
118	62256	199327
119	62930	199281
120	63472	198809
121	63959	198171
122	64623	198073
123	65278	197940
124	65818	197456
125	66486	197347
126	67054	196940
127	67696	196741
128	68303	196438
129	68956	196261
130	69509	195793
131	70056	195308
132	70568	194727
133	71183	194425
134	71854	194273
135	72467	193958
136	73026	193492
137	73648	193192
138	74719	194056
139	75320	193680
140	76105	193771
141	76737	193465
142	77305	192992
143	77868	192507
144	78382	191901
145	78921	191357
146	79567	191069
147	80214	190781
148	80791	190321
149	81334	189779
150	81966	189446
151	82543	188981
152	83154	188591
153	83636	187909
154	84342	187729
155	84936	187296
156	85584	186976
157	86061	186285
158	86723	185992
159	87335	185588
160	87828	184930
161	88470	184586
162	89132	184280
163	89666	183707
164	90288	183312
165	90915	182926
166	91512	182477
167	91956	181723
168	92482	181135
169	93200	180918
170	93678	180234
171	94252	179737
172	94704	179008
173	95268	178492
174	95722	177769
175	96180	177059
176	96708	176478
177	97234	175896
178	97825	175430
179	98420	174969
180	99044	174558
181	99549	173938
182	100131	173451
183	100738	173007
184	101179	172278
185	101707	171699
186	102210	171079
187	102810	170620
188	103244	169889
189	103760	169293
190	104357	168829
191	104995	168430
192	105486	167794
193	106005	167204
194	106621	166766
195	107288	166407
196	107813	165824
197	108378	165304
198	108824	164603
199	109563	164345
200	110176	163893
201	110774	163419
202	111377	162951
203	111951	162439
204	112545	161955
205	113322	161732
206	114052	161436
207	114626	160918
208	115164	160348
209	115762	159863
210	116423	159461
211	116943	158866
212	117537	158372
213	118117	157858
214	118691	157335
215	119306	156866
216	119840	156290
217	120398	155744
218	121075	155353
219	121644	154820
220	122258	154344
221	122883	153880
222	123463	153360
223	123969	152747
224	124492	152157
225	124998	151546
226	125498	150929
227	126112	150449
228	126708	149947
229	127451	149617
230	128114	149190
231	128684	148652
232	129178	148028
233	129782	147530
234	130354	146995
235	130952	146489
236	131520	145948
237	132083	145402
238	132563	144766
239	133072	144161
240	133747	143736
241	134292	143171
242	134821	142589
243	135315	141970
244	136059	141612
245	136722	141168
246	137390	140728
247	137944	140169
248	138605	139719
249	139120	139120
250	139715	138602
251	140195	137969
252	140878	137537
253	141667	137205
254	142276	136696
255	142814	136120
256	143513	135695
257	144043	135110
258	144628	134577
259	145144	133979
260	145775	133488
261	146453	133037
262	146955	132427
263	147418	131783
264	148009	131253
265	148610	130732
266	149187	130189
267	149718	129607
268	150268	129041
269	150772	128435
270	151335	127881
271	151913	127338
272	152423	126740
273	152934	126143
274	153494	125586
275	153950	124945
276	154417	124314
277	154944	123732
278	155467	123148
279	156020	122587
280	156523	121987
281	157128	121467
282	157738	120951
283	158254	120362
284	158687	119711
285	159306	119201
286	159768	118574
287	160313	118008
288	160887	117464
289	161440	116905
290	161970	116329
291	162552	115790
292	163054	115195
293	163661	114674
294	164232	114127
295	164687	113501
296	165247	112946
297	165939	112482
298	166517	111940
299	167168	111445
300	167722	110886
301	168185	110267
302	168812	109755
303	169510	109289
304	170111	108759
305	170995	108408
306	171799	108004
307	172372	107453
308	172965	106914
309	173469	106320
310	173943	105708
311	174474	105131
312	175037	104575
313	175576	104004
314	176049	103394
315	176649	102859
316	177210	102301
317	177792	101755
318	178329	101183
319	178936	100651
320	179421	100051
321	179997	99501
322	180616	98975
323	181087	98368
324	181598	97783
325	182185	97240
326	182789	96705
327	183306	96124
328	183870	95568
329	184460	95025
330	185075	94494
331	186020	94130
332	188494	94530
333	190331	94595
334	190331	94595
335	192696	94334
336	194322	94269
337	195591	94023
338	196783	93734
339	198134	93514
340	198134	93514
341	199213	92575
342	200478	92302
343	201767	92034
344	204960	92620
345	206832	92593
346	208423	92431
347	209573	92066
348	210658	91669
349	212207	91468
350	213779	91269
351	214968	90900
352	215882	90412
353	216664	89866
354	217492	89338
355	218225	88769
356	218974	88206
357	220111	87797
358	220719	87174
359	221458	86603
360	222004	85957
361	222590	85326
362	223175	84695
363	223712	84046
364	224302	83418
365	224896	82791
366	225364	82119
367	225874	81463
368	226477	80840
369	226917	80160
370	227438	79510
371	228047	78891
372	228528	78229
373	228992	77562
374	229532	76921
375	230075	76281
376	230513	75608
377	231065	74973
378	231491	74298
379	232094	73680
380	233012	73162
381	233533	72518
382	234150	71904
383	234608	71242
384	235017	70566
385	235751	69988
386	236253	69341
387	236691	68677
388	237160	68022
389	237783	67412
390	238354	66788
391	238902	66157
392	239323	65492
393	239943	64882
394	240454	64243
395	240970	63606
396	241477	62967
397	241946	62319
398	242466	61685
399	243109	61082
400	243657	60456
401	244455	59891
402	245082	59284
403	246008	58748
404	246946	58213
405	247682	57629
406	248495	57061
407	249175	56463
408	249769	55845
409	250268	55206
410	250880	54592
411	251468	53973
412	252015	53346
413	252470	52700
414	253095	52089
415	253636	51462
